Protocol Name,Isolation of Poly(A) + RNA,,,,,,,,,,,,,,
Input,"Nucleic Acid, RNA, total",,,,,,,,,,,,,,
Output,"Nucleic Acid, RNA, poly(A)+",,,,,,,,,,,,,,
Remarks,"This protocol separates poly(A)+ RNA from the remainder of total RNA, which is largely rRNA and tRNA. Total RNA is denatured to expose the poly(A) (polyadenylated) tails. Poly(A)-containing RNA is then bound to oligo(dT) cellulose, with the remainder of the RNA washing through. The poly(A)+ RNA is eluted by removing salt from the solution, thus destabilizing the dT:rA hybrid. The column can then be repeated to remove contaminating poly(A)_ RNA.",,,,,,,,,,,,,,
Remarks,"The following solutions should be treated with DEPC to inhibit RNase activity: water, 10M LiCl, 3 M sodium acetate. See UNIT 4.1, reagents and solutions, for instructions. CAUTION: DEPC is a suspected carcinogen and should be handled carefully.",,,,,,,,,,,,,,
Reference PMID,18265239,,,,,,,,,,,,,,
Reference URL,,,,,,,,,,,,,,,
Reference,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Step Number,Step Text,Action,Attribute,,,,,,,,,,,,
1,"Wash a silanized column with 10 ml of 5 M NaOH, then rinse it with water. A silanized glass Pasteur pipet plugged with silanized glass wool or a small disposable column with a 2-ml capacity can be used. It is important to silanize the column to prevent RNA from sticking to the glass or plastic.",wash,what,a silicanized column,,,,,,,,,,,
,,,how - with,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note
,,,,"Buffer, Sodium hydroxide (NaOH)",,,,10,10,milliliter,5,5,Molar,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,2,2,minutes,Active; Per sample,,,,,,,,
,,rinse,what,a silicanized column,,,,,,,,,,,
,,,how - with,"Water, DEPC-treated",,,,,,,,,,,
,,,step - remark,A silanized glass Pasteur pipet plugged with silanized glass wool or a small disposable column with a 2-ml capacity can be used. It is important to silanize the column to prevent RNA from sticking to the glass or plastic.,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,2,2,minutes,Active; Per sample,,,,,,,,
