Protocol Name,PCR amplification of dsDNA,,,,,,,,,,,,,,
Input,dsDNA with Illumina adapters,,,,,,,,,,,,,,
Output,PCR-amplified pool of cDNA,,,,,,,,,,,,,,
Remarks,,,,,,,,,,,,,,,
Reference PMID,20069539,,,,,,,,,,,,,,
Reference URL,http://onlinelibrary.wiley.com/doi/10.1002/0471142727.mb0411s89/abstract;jsessionid=953D32C841D4519C73A9F2BA29307410.d01t01,,,,,,,,,,,,,,
Reference DOI,10.1002/0471142727.mb0411s89,,,,,,,,,,,,,,
Category Tags,PCR amplification of dsDNA,,,,,,,,,,,,,,
Specifier Tags,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Step Number,Step Text,Action,Attribute,,,,,,,,,,,,
1,"For each reaction, add the following components to a PCR tube (total volume should be 50 _l):  23 _l DNA from step 27, 1 _l Illumina PCR primer 1.1, 1 _l Illumina PCR primer 2.1, 25 _l of 2× Phusion DNA polymerase master mix.",combine,what - component list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note
,,,,"Output from prior protocol (Illumina, Ligate Illumina Adapters)",,,,23,23,microliter,,,,,
,,,,"Nucleic Acid, Primer, Illumina PCR primer 1.1",,,,1,1,microliter,,,,,
,,,,"Nucleic Acid, Primer, Illumina PCR primer 2.1",,,,1,1,microliter,,,,,
,,,,"Enzyme Mix, Phusion DNA Polymerase Master Mix, 2X",,,,25,25,microliter,2,2,X,,
,,,,Total Volume,,,,50,50,microliter,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,2,2,minutes,Active; Per sample,,,,,,,,
,Mix gently by pipetting up and down. Try to avoid creation of bubbles.,mix,how,gently by pipetting up and down,,,,,,,,,,,
,,,remarks,try to avoid creation of bubbles.,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,0.25,0.25,minutes,Active; Per sample,,,,,,,,
,centrifuge briefly to collect the solution in the bottom of the tube.,centrifuge,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,
,,,,,,,Brief,,,,,,,,
,,,how - centrifuge speed,Min Speed,Max Speed,Speed Units,Speed Comment,,,,,,,,
,,,,,,,Pulse,,,,,,,,
,,,why,to collect the solution in the bottom of the tube.,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1,1,minutes,Passive,,,,,,,,
2,"Place the tubes in the thermal cycler and perform the following thermal cycling program: 1 cycle: 30 sec 98_C (initial denaturation), 15 cycles: 10 sec 98_C (denaturation), 30 sec 65_C (annealing), 30 sec 72_C (extension), 1 cycle: 5 min 72_C (final extension). The cycling conditions may need to be optimized, but these above are reasonable starting conditions.",,step - remark,"The cycling conditions may need to be optimized, but these are reasonable starting conditions.",,,,,,,,,,,
,,thermal cycle,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,
,,,,98,98,degrees Celsius,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,
,,,,30,30,seconds,,,,,,,,,
,,,number of times,1,,,,,,,,,,,
,,thermal cycle,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,
,,,,98,98,degrees Celsius,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,
,,,,10,10,seconds,,,,,,,,,
,,,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,
,,,,65,65,degrees Celsius,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,
,,,,30,30,seconds,,,,,,,,,
,,,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,
,,,,72,72,degrees Celsius,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,
,,,,30,30,seconds,,,,,,,,,
,,,number of times,15,,,,,,,,,,,
,,thermal cycle,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,
,,,,72,72,degrees Celsius,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,
,,,,5,5,minutes,,,,,,,,,
,,,number of times,1,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,23,23,minutes,Passive,,,,,,,,
3,"Purify the PCR product using the QIAquick MinElute PCR Purification Kit. Follow the manufacturer's recommended protocol, but elute in a final volume of 15 _l of Buffer EB. Note that this step again uses the MinElute version of the kit.",call for protocol,protocol - type,PCR Purification,,,,,,,,,,,
,,,protocol - kit name,QIAquick MinElute PCR Purification Kit,,,,,,,,,,,
,,,protocol - output,"Nucleic Acid, DNA, purified",,,,,,,,,,,
,,,protocol - output components list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note
,,,,"Nucleic Acid, DNA, purified",,,,15,15,microliter,,,,,
,,,,Total Volume,,,,15,15,microliter,,,,,
,,,remarks,"Follow the manufacturer's recommended protocol, but elute in a final volume of 15 _l of Buffer EB. Note that this step again uses the MinElute version of the kit.",,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,,,,"Unknown, Protocol",,,,,,,,
