Protocol Name,"First strand cDNA synthesis, random hexamer primers",,,,,,,,,,,,,,,,,,
Input,"Nucleic Acid, RNA, total",,,,,,,,,,,,,,,,,,
Output,"Nucleic Acid, DNA/RNA hybrid",,,,,,,,,,,,,,,,,,
Remarks,This protocol is intended for first strand cDNA synthesis using random hexamer primers,,,,,,,,,,,,,,,,,,
Reference PMID,20069539,,,,,,,,,,,,,,,,,,
Reference URL,http://onlinelibrary.wiley.com/doi/10.1002/0471142727.mb0411s89/abstract;jsessionid=953D32C841D4519C73A9F2BA29307410.d01t01,,,,,,,,,,,,,,,,,,
Reference DOI,10.1002/0471142727.mb0411s89,,,,,,,,,,,,,,,,,,
Category Tags,cDNA synthesis,,,,,,,,,,,,,,,,,,
Specifier Tags,Random hexamer primers,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Step number,container,action,attributes,,,,,,,,,,,,,,,,
1,Prepare 100 ng to 1 ug poly(A)+ RNA from the total RNA using an appropriate method (see UNIT 4.5). Keep the poly(A)+ RNA at a concentration of at least 100 ng/ul. See Critical Parameters and Troubleshooting for more details.,call for protocol,protocol - type,poly(A)+ RNA isolation,,,,,,,,,,,,,,,
,,,protocol - name,poly(A)+ RNA isolation,,,,,,,,,,,,,,,
,,,protocol - input,"Nucleic Acid, RNA, total",,,,,,,,,,,,,,,
,,,protocol - output,"Nucleic Acid, RNA, poly(A)+",,,,,,,,,,,,,,,
,,,protocol - output components list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note,,,,
,,,,"Nucleic Acid, RNA, poly(A)+",100,1000,nanograms,,,,100,,nanograms/microLiter,,,,,,
,,,remarks,See Critical Parameters and Troubleshooting for more details.,,,,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,,,,"Uknown, Protocol",,,,,,,,,,,,
2,"Prepare a cocktail on ice containing the following: 50 to 250 ng random hexamer primers. 1 ul 10 mM dNTPs. 100 ng to 1 ug poly(A)+ RNA. Bring the final volume to 12 ul using nuclease-free sterile water, if necessary.",combine,what - component list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note,,,,
,,,,"Nucleic Acid, Primer, random hexamer primers",50,250,nanograms,1,10,User input,User input,User input,User input,,,,,,
,,,,"Nucleic Acid, dNTPs",,,,1,1,microliter,10,10,milliMolar,,,,,,
,,,,"Nucleic Acid, RNA, poly(A)+",100,1000,nanograms,1,10,User input,User input,User input,User input,,,,,,
,,,,"Water, nuclease-free, sterile",,,,0,9,microliter,,,,,Up to 12 microliters,,,,
,,,,Total Volume,,,,12,12,microliter,,,,,,,,,
,,,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,,,,,
,,,,0,0,degrees Celsius,On ice,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,2,2,minutes,Actve; Per sample,,,,,,,,,,,,
3,Heat the mixture to 65C in a heat block for 5 min,heat,what,Sample,,,,,,,,,,,,,,,
,,,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,,,,,
,,,,65,65,degrees Celsius,in a heat block,,,,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,,,,,
,,,,5,5,minutes,,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,5,5,minutes,Passive,,,,,,,,,,,,
,quick-chill on ice,chill,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,,,,,
,,,,0,0,degrees Celsius,On ice,,,,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,,,,,
,,,,,,,Brief,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,1,1,minutes,Passive,,,,,,,,,,,,
,Collect the contents of the tube by brief centrifugation.,centrifuge,what,Sample,,,,,,,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,,,,,
,,,,,,,Brief,,,,,,,,,,,,
,,,how - centrifuge speed,Min Speed,Max Speed,Speed Units,Speed Comment,,,,,,,,,,,,
,,,,,,,Pulse,,,,,,,,,,,,
,,,why,to collect the contents of the tube,,,,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,1,1,minutes,Passive,,,,,,,,,,,,
4,Add the following (total volume should be 19 ul): 4 ul 5X first strand buffer (1X final). 2 ul 100 mM DTT (10 mM final). 1 ul nuclease-free water.,add,what - component list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note,,,,
,,,,"Buffer, First strand cDNA synthesis",,,,4,4,microliter,5,5,X,,,,,,
,,,,"Reducing agent, DTT",,,,2,2,microliter,100,100,milliMolar,,,,,,
,,,,"Water, nuclease-free, sterile",,,,1,1,microliter,,,,,,,,,
,,,,Total volume,,,,19,19,microliter,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,1.5,1.5,minutes,Active; Per sample,,,,,,,,,,,,
,Mix by pipetting,mix,how,by pipetting,,,,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,0.25,0.25,minutes,Active; Per sample,,,,,,,,,,,,
,collect contents by brief centrifugation.,centrifuge,what,tube,,,,,,,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,,,,,
,,,,,,,Brief,,,,,,,,,,,,
,,,how - centrifuge speed,Min Speed,Max Speed,Speed Units,Speed Comment,,,,,,,,,,,,
,,,,,,,Pulse,,,,,,,,,,,,
,,,why,to collect the contents of the tube,,,,,,,,,,,,,,,
,,,step - remark,"If more than one RNA sample needs to be processed to generate cDNA, one can prepare a master mix containing these components for all the RNA samples at once.",,,,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,1,1,minutes,Passive,,,,,,,,,,,,
5,Incubate samples with random- hexamer primers for 2 min at 25C.,incubate,what,samples,,,,,,,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,,,,,
,,,,2,2,minutes,,,,,,,,,,,,,
,,,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,,,,,
,,,,25,25,degrees Celsius,,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,2,2,minutes,Passive,,,,,,,,,,,,
6,Add 1 ul (200 U) of SuperScript II reverse transcriptase,add,what - component list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note,,,,
,,,,"Enzyme, SuperScript II reverse transcriptase",200,200,Units,1,1,microliter,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,0.5,0.5,minutes,Active; Per sample,,,,,,,,,,,,
,mix gently by flicking,mix,how,gently by flicking,,,,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,0.1,0.1,minutes,Active; Per sample,,,,,,,,,,,,
,Collect contents by brief centrifugation.,centrifuge,what,tube,,,,,,,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,,,,,
,,,,,,,Brief,,,,,,,,,,,,
,,,how - centrifuge speed,Min Speed,Max Speed,Speed Units,Speed Comment,,,,,,,,,,,,
,,,,,,,Pulse,,,,,,,,,,,,
,,,why,to collect the contents of the tube,,,,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,1,1,minutes,Passive,,,,,,,,,,,,
7,For samples with random-hexamer primers incubate for 10 min at 25C followed by 50 min at 42C.,incubate,what,samples,,,,,,,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,,,,,
,,,,10,10,minutes,,,,,,,,,,,,,
,,,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,,,,,
,,,,25,25,degrees Celsius,,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,10,10,minutes,Passive,,,,,,,,,,,,
,,incubate,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,,,,,
,,,,50,50,minutes,,,,,,,,,,,,,
,,,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,,,,,
,,,,42,42,degrees Celsius,,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,50,50,minutes,Passive,,,,,,,,,,,,
8,Incubate tubes at 70C for 15 min to inactivate the reverse transcriptase.,incubate,what,tubes,,,,,,,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,,,,,
,,,,15,15,minutes,,,,,,,,,,,,,
,,,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,,,,,
,,,,70,70,degrees Celsius,,,,,,,,,,,,,
,,,why,to inactivate the reverse transcriptase,,,,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,15,15,minutes,Passive,,,,,,,,,,,,
9,"Incubate on ice for 2 mins to stop inactivation reaction, from manufactureres protocol",incubate,what,tubes,,,,,,,,,,,,,,,
,,,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,,,,,
,,,,0,0,degrees Celsius,On ice,,,,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,,,,,
,,,,2,2,minutes,,,,,,,,,,,,,
,,,why,to stop inactivation reaction,,,,,,,,,,,,,,,
,,,remarks,This step based on reagent manufacturers instructions,,,,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,2,2,minutes,Passive,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
