Protocol Name,"Fragmenting dsDNA, DNase I",,,,,,,,,,,,,,,,,,
Input,dsDNA,,,,,,,,,,,,,,,,,,
Output,Fragmented dsDNA,,,,,,,,,,,,,,,,,,
Remarks,"Double-stranded cDNA obtained in step (Illumina Second Strand cDNA synthesis).5 is fragmented using DNase I to generate
small fragments of cDNA suitable for sequencing using an Illumina Genome Analyzer.",,,,,,,,,,,,,,,,,,
Reference PMID,20069539,,,,,,,,,,,,,,,,,,
Reference URL,http://onlinelibrary.wiley.com/doi/10.1002/0471142727.mb0411s89/abstract;jsessionid=953D32C841D4519C73A9F2BA29307410.d01t01,,,,,,,,,,,,,,,,,,
Reference DOI,10.1002/0471142727.mb0411s89,,,,,,,,,,,,,,,,,,
Category Tags,dsDNA modification,,,,,,,,,,,,,,,,,,
Specifier Tags,DNase I,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Step Number,Step Text,Action,Attribute,,,,,,,,,,,,,,,,
1,"Mix 8 _l of water, 1 _l of DNase I buffer, and 1 _l of DNase I enzyme (2 U/_l) in a
microcentrifuge tube.",combine,what - component list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note,,,,
,,,,Water,,,,8,8,microliter,,,,,,,,,
,,,,"Buffer, DNase I (New England Biolabs)",,,,1,1,microliter,,,,,,,,,
,,,,"Enzyme, DNase I (New England Biolabs)",,,,1,1,microliter,2,2,Units/microliter,,,,,,
,,,,Total volume,,,,10,10,microliter,,,,,,,,,
,,,where - vessel,in a microcentrifuge tube,,,,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,,,,
,,,,1.5,1.5,minutes,Active; Per Sample,,,,,,,,,,,,
2,"Add 2 _l of this mixture to 25 _l of cDNA from step (Illumina, Fragment ds cDNA).1",combine,what - component list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note,,,,
,,,,Output from prior protocol (Illumina Second Strand cDNA synthesis); ds DNA,,,,25,25,microliter,,,,,,,,,
