Protocol Name,Gel extraction of DNA,,,,,,,,,,,,,,
Input,DNA embedded in agarose gel,,,,,,,,,,,,,,
Output,"DNA, purified",,,,,,,,,,,,,,
Remarks,"Purification of cDNA fragments: The following protocol is used in the Basic Protocol at steps 27 and 31 
to purify a cDNA library from an agarose gel in order to isolate and 
purify only the cDNA fragments of a length suitable for sequencing on an
 Illumina Genome Analyzer. An agarose slice is cut from the gel, melted,
 and purified using Qiagen's Gel Extraction kit following the 
manufacturer's recommended protocol.",,,,,,,,,,,,,,
Reference PMID,20069539,,,,,,,,,,,,,,
Reference URL,http://onlinelibrary.wiley.com/doi/10.1002/0471142727.mb0411s89/abstract;jsessionid=953D32C841D4519C73A9F2BA29307410.d01t01,,,,,,,,,,,,,,
Reference DOI,10.1002/0471142727.mb0411s89,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Step Number,Step Text,Action,Attribute,,,,,,,,,,,,
1,"Prepare a 1.5% to 2% standard agarose/ethidium bromide gel using a 100-cm gel rack (UNIT 2.5A). Approximately 100 ml of agarose solution will be needed, containing 3 _l of 10 mg/ml ethidium bromide.",call for protocol,protocol - type,Gel preparation,,,,,,,,,,,
,,,protocol - name,Gel preparation,,,,,,,,,,,
,,,protocol - output,1.5% to 2% standard agarose/ethidium bromide gel,,,,,,,,,,,
,,,protocol - output components list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note
,,,,agarose in water,,,,,,,1.5,2,%,,
,,,,ethidium bromide,,,,,,,0.3,0.3,micrograms/milliLiter,,
,,,,Total Volume,,,,100,100,milliliter,,,,,
,,,remarks,"Prepare a 1.5% to 2% standard agarose/ethidium bromide gel using a  100-cm gel rack (UNIT 2.5A). Approximately 100 ml of agarose solution will be needed, containing 3 _l of 10 mg/ml ethidium bromide.",,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,,,,"Unknown, Protocol",,,,,,,,
2,Load 15 _l of the cDNA library with 1_ DNA loading buffer (UNIT 2.5A) into each well.,combine,what - component list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note
,,,,"Nucleic Acid, cDNA library",,,,User input,User input,User input,,,,,
,,,,"Buffer, DNA loading 1x",,,,User input,User input,User input,1,1,X,,
,,,,Total Volume,,,,15,15,microliter,,,,,
,,,how - using tool,pipet,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1,1,minutes,Active; Per sample,,,,,,,,
,,load,where,into each well,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,0.5,0.5,minutes,Active; Per sample,,,,,,,,
3,Electrophorese at 80 to 100 V for 60 to 90 min.,electrophorese,how - using machine,electrophoresis device,,,,,,,,,,,
,,,how - voltage,Min Voltage,Max Voltage,Voltage Units,,,,,,,,,
,,,,80,100,Volts,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,
,,,,60,90,minutes,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,60,90,minutes,Passive,,,,,,,,
4,"Stop electrophoresis and cut out the target band in a range of 150 to 350 bp with a clean, disposable scalpel.",stop,what,electrophoresis,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,0.5,0.5,minutes,Active,,,,,,,,
,,excise,what,150-350bp target band from gel,,,,,,,,,,,
,,,how - using tool,"clean, disposable scalpel",,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,5,10,minutes,Active,,,,,,,,
5,Purify the gel using Qiagen's Gel Extraction Kit following the manufacturer's recommended protocol.,call for protocol,protocol - type,Gel Extraction,,,,,,,,,,,
,,,protocol - kit name,Qiagen's Gel Extraction Kit,,,,,,,,,,,
,,,protocol - output,"Nucleic Acid, DNA",,,,,,,,,,,
,,,remarks,Follow the manufacturer's recommended protocol.,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,,,,"Unknown, Protocol",,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
