Protocol Name,Agarose Gel Electrophoresis,,,,,,,,,,,,,,
Input,"Nucleic Acid, DNA",,,,,,,,,,,,,,
Output,"Image Data, separated dsDNA in agarose gel",,,,,,,,,,,,,,
Remarks,,,,,,,,,,,,,,,
Reference PMID,18265185,,,,,,,,,,,,,,
Reference URL,,,,,,,,,,,,,,,
Reference DOI,10.1002/0471142727.mb0205as51,,,,,,,,,,,,,,
Reference (Other),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Step Number,Step Text,Action,Attribute,,,,,,,,,,,,
1,"Prepare an adequate volume of electrophoresis buffer (TAE or TBE; see CriticalParameters, Electrophoresis buffers) to fill the electrophoresis tank and prepare the gel. To facilitate visualization of DNA fragments during the run, ethidium bromide solution can be added to the electrophoresis buffer to a final concentration of 0.5 µg/ml. If buffer is prepared for the electrophoresis tank and the gel separately, be sure to bring both to an identical concentration of ethidium bromide. CAUTION: Ethidium bromide is a mutagen and potential carcinogen. Gloves should be worn and care should be taken when handling ethidium bromide solutions.",prepare,what,an adequate volume of electrophoresis buffer (TAE or TBE),,,,,,,,,,,
,,,why,to fill the electrophoresis tank and prepare the gel,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,5,5,minutes,Active,,,,,,,,
,,add,remarks,Optional,,,,,,,,,,,
,,,what,ethidium bromide solution,,,,,,,,,,,
,,,where,to the electrophoresis buffer,,,,,,,,,,,
,,,how,to a final concentration of 0.5 ug/ml,,,,,,,,,,,
,,,step - remark,"If buffer is prepared for the electrophoresis tank and the gel separately, be sure to bring both to an identical concentration of ethidium bromide.",,,,,,,,,,,
,,,caution/warning,CAUTION: Ethidium bromide is a mutagen and potential carcinogen. Gloves should be worn and care should be taken when handling ethidium bromide solutions.,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,2,2,minutes,Active; Optional,,,,,,,,
2,"Add the desired amount of electrophoresis-grade agarose to a volume of electrophoresis buffer sufficient for constructing the gel (see Table 2.5A.1). Melt the agarose in a microwave oven or autoclave and swirl to ensure even mixing. Gels typically contain 0.8 to 1.5% agarose (see Critical Parameters, Agarose Concentration). Melted agarose should be cooled to 55ÁC in a water bath before pouring onto the gel platform. This prevents warping of the gel apparatus. Gels are typically poured between 0.5 and 1 cm thick. Remember to keep in mind that the volume of the sample wells will be determined by both the thickness of the gel and the size of the gel comb.",combine,what - component list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note
,,,,"Agarose, Electrophoresis-grade",,,,user input,user input,User input,0.8,1.5,%,,Percentage (mass/vol) of agarose in electrophoresis buffer
,,,,"Buffer, Electrophoresis buffer (TAE)",,,,user input,user input,User input,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1,1,minutes,Active,,,,,,,,
,,melt,what,the agarose,,,,,,,,,,,
,,,how - using machine,in a microwave oven or autoclave,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1,1,minutes,"Passive, ~1 minute per 100ml of Agarose solution",,,,,,,,
,,swirl,why,to ensure even mixing,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1,1,minutes,Active,,,,,,,,
,,,step - remark,"Gels typically contain 0.8 to 1.5% agarose (see Critical Parameters, Agarose Concentration)",,,,,,,,,,,
,,cool,remarks,Recommended,,,,,,,,,,,
,,,what,the melted agarose,,,,,,,,,,,
,,,how - using machine,water bath,,,,,,,,,,,
,,,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,
,,,,55,55,degrees Celsius,Target temperature,,,,,,,,
,,,when,before pouring onto the gel platform,,,,,,,,,,,
,,,why,This prevents warping of the gel apparatus.,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,15,15,minutes,Passive; Optional,,,,,,,,
,,,step - remark,Gels are typically poured between 0.5 and 1 cm thick.,,,,,,,,,,,
,,,step - remark,"Remember to keep in mind that the volume of the sample wells will be 
determined by both the thickness of the gel and the size of the gel 
comb.",,,,,,,,,,,
3,"Seal the gel casting platform if it is open at the ends. Pour in the melted agarose and insert the gel comb, making sure that no bubbles are trapped underneath the combs and all bubbles on the surface of the agarose are removed before the gel sets. Most gel platforms are sealed by taping the open ends with adhesive tape. As an added measure to prevent leakage, hot agarose can be applied with a Pasteur pipet to the joints and edges of the gel platform and allowed to harden.",seal,what,the gel casting platform,,,,,,,,,,,
,,,conditional,if it is open at the ends,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,15,15,minutes,Active,,,,,,,,
,,apply,remarks,Optional 1,,,,,,,,,,,
,,,what,hot agarose,,,,,,,,,,,
,,,how - using tool,Pasteur pipet,,,,,,,,,,,
,,,where,to the joints and edges of the gel platform,,,,,,,,,,,
,,,why,As an added measure to prevent leakage,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,5,5,minutes,Active; Optional,,,,,,,,
,,let sit/stand,remarks,Optional 2,,,,,,,,,,,
,,,how,until the gel has hardened,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,5,5,minutes,Active; Optional,,,,,,,,
,,pour,what,the melted agarose,,,,,,,,,,,
,,,where,into the gel casting platform,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1,1,minutes,Active,,,,,,,,
,,insert,what,the gel comb,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,0.5,0.5,minutes,Active,,,,,,,,
,,check,what,make sure that no bubbles are trapped underneath the combs and all bubbles on the surface of the agarose are removed before the gel sets.,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1,1,minutes,Active,,,,,,,,
,,,step - remark,Most gel platforms are sealed by taping the open ends with adhesive tape,,,,,,,,,,,
,,let sit/stand,how,until the gel has hardened,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,15,15,minutes,Passive,,,,,,,,
,,cool,remarks,Recommended,,,,,,,,,,,
,,,conditional,If handling low percentage gels and gels made from low gelling/melting temperature agarose,,,,,,,,,,,
,,,what,agarose gel,,,,,,,,,,,
,,,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,
,,,,4,4,degrees Celsius,,,,,,,,,
,,,why,to gain extra rigidity and prevent tearing.,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,15,15,minutes,Passive; Optional,,,,,,,,
4,"After the gel has hardened, remove the tape from the open ends of the gel platform and withdraw the gel comb, taking care not to tear the sample wells. Most gel platforms are designed so that 0.5 to 1 mm of agarose remains between the bottom of the comb and the base of the gel platform. This is usually sufficient to ensure that the sample wells are completely sealed and to prevent tearing of the agarose upon removal of the comb. Low percentage gels and gels made from low gelling/melting temperature agarose should be cooled at 4ÁC to gain extra rigidity and prevent tearing.",remove,when,After the gel has hardened,,,,,,,,,,,
,,,what,the tape from the open ends of the gel platform,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1,1,minutes,Active,,,,,,,,
,,withdraw,what,the gel comb,,,,,,,,,,,
,,,how,take care not to tear the sample wells,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1,1,minutes,Active,,,,,,,,
,,,step - remark,Most gel platforms are designed so that 0.5 to 1 mm of agarose remains between the bottom of the comb and the base of the gel platform. This is usually sufficient to ensure that the sample wells are completely sealed and to prevent tearing of the agarose upon removal of the comb.,,,,,,,,,,,
5,Place the gel casting platform containing the set gel in the electrophoresis tank. Add sufficient electrophoresis buffer to cover the gel to a depth of about 1 mm (or just until the tops of the wells are submerged). Make sure no air pockets are trapped within the wells.,place,what,the gel casting platform containing the set gel,,,,,,,,,,,
,,,where,in the electrophoresis tank,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1,1,minutes,Active,,,,,,,,
,,add,what,sufficient electrophoresis buffer,,,,,,,,,,,
,,,where,to the electrophoresis tank,,,,,,,,,,,
,,,how,to cover the gel to a depth of about 1 mm (or just until the tops of the wells are submerged).,,,,,,,,,,,
,,,how,Make sure no air pockets are trapped within the wells.,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1,1,minutes,Active,,,,,,,,
6,DNA samples should be prepared in a volume that will not overflow the gel wells by addition of the appropriate amount of 10_ loading buffer. Samples are typically loaded into the wells with a pipettor or micropipet. Care should be taken to prevent mixing of the samples between wells. Be sure to include appropriate DNA molecular weight markers (see Fig. 2.5.3).,prepare,remarks,Recommended,,,,,,,,,,,
,,,what,DNA samples,,,,,,,,,,,
,,,how,in a volume that will not overflow the gel wells by addition of the appropriate amount of 10_ loading buffer.,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1,1,minutes,Active,,,,,,,,
,,load,what,DNA samples in loading buffer,,,,,,,,,,,
,,,how - using tool,pipettor or micropipet,,,,,,,,,,,
,,,where,into wells in agarose gel,,,,,,,,,,,
,,,remarks,Care should be taken to prevent mixing of the samples between wells.,,,,,,,,,,,
,,,remarks,Be sure to include appropriate DNA molecular weight markers (see Fig. 2.5.3).,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1,1,minutes,Active; Per sample,,,,,,,,
7,"Be sure that the leads are attached so that the DNA will migrate into the gel toward the anode or positive lead. Set the voltage to the desired level, typically 1 to 10 V/cm of gel, to begin electrophoresis. The progress of the separation can be monitored by the migration of the dyes in the loading buffer. CAUTION: To prevent electrical shocks, the gel apparatus should always be covered and kept away from heavily used work spaces.",check,what,Be sure that the leads are attached so that the DNA will migrate into the gel toward the anode or positive lead.,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1,1,minutes,Active,,,,,,,,
,,electrophorese,how - voltage,Min Voltage,Max Voltage,Voltage Units,Voltage Comment,,,,,,,,
,,,,1,10,Volts/centimeter,1 to 10 volts per centimeter of gel,,,,,,,,
,,,how - time,The progress of the separation can be monitored by the migration of the dyes in the loading buffer.,,,,,,,,,,,
,,,caution/warning,"CAUTION: To prevent electrical shocks, the gel apparatus should always be covered and kept away from heavily used work spaces.",,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,10,45,minutes,Passive,,,,,,,,
8,"Turn off the power supply when the bromphenol blue dye from the loading buffer has migrated a distance judged sufficient for separation of the DNA fragments. If ethidium bromide has been incorporated into the gel, the DNA can be visualized by placing on a UV light source and can be photographed directly (see SupportProtocol 2). If necessary, gels can be destained by shaking in water for an additional 30 min. This serves to remove excess ethidium bromide which causes background fluorescence and makes visualization of small quantities of DNA difficult.",switch off,what,the power supply,,,,,,,,,,,
,,,when,when the bromophenol blue dye from the loading buffer has migrated a distance judged sufficient for separation of the DNA fragments,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,0.5,0.5,minutes,Active,,,,,,,,
,,shake,remarks,Optional,,,,,,,,,,,
,,,conditional,If necessary,,,,,,,,,,,
,,,what,the agarose gel,,,,,,,,,,,
,,,how,in water,,,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,
,,,,30,30,minutes,,,,,,,,,
,,,why,to destain the agarose gel,,,,,,,,,,,
,,,why,This serves to remove excess ethidium bromide which causes background fluorescence and makes visualization of small quantities of DNA difficult.,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,30,30,minutes,Passive; Conditional,,,,,,,,
,,place,conditional,If ethidium bromide has been incorporated into the gel,,,,,,,,,,,
,,,what,the agarose gel,,,,,,,,,,,
,,,where,on a UV light source,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1,1,minutes,Active; Conditional,,,,,,,,
,,photograph,what,the agarose gel,,,,,,,,,,,
,,,remarks,see Support Protocol 2 (specific to this protocol),,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,5,10,minutes,Active,,,,,,,,
