Protocol Name,Second strand cDNA synthesis,,,,,,,,,,,,,,
Input,ssRNA/ssDNA hyrbid,,,,,,,,,,,,,,
Output,dsDNA,,,,,,,,,,,,,,
Remarks,"In the following series of steps the RNA is removed from the DNA-RNA hybrid and a replacement strand is synthesized, thereby generating double-stranded cDNA.",,,,,,,,,,,,,,
Reference PMID,20069539,,,,,,,,,,,,,,
Reference URL,http://onlinelibrary.wiley.com/doi/10.1002/0471142727.mb0411s89/abstract;jsessionid=953D32C841D4519C73A9F2BA29307410.d01t01,,,,,,,,,,,,,,
Reference DOI,10.1002/0471142727.mb0411s89,,,,,,,,,,,,,,
Category Tags,cDNA synthesis,,,,,,,,,,,,,,
Specifier Tags,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Step Number,Step Text,Action,Attribute,,,,,,,,,,,,
1,"Add the following reagents, in this order, to the first-strand reaction tube from
step (Illumina First Strand cDNA synthesis).9 (total volume should be 150 _l).
91 _l nuclease-free H2O
30 _l 5_ second strand buffer (1_ final)
3 _l 10 mM dNTP mix (0.2 mM final)
1 _l 10 U/_l E. coli DNA ligase
4 _l 10 U/_l E. coli DNA polymerase I
1 _l 2 U/_l E. coli RNase H.",add,what - component list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note
,,,,"Water, nuclease-free, sterile",,,,91,91,microliter,,,,,
,,,,"Buffer, Second strand cDNA synthesis (Invitrogen)",,,,30,30,microliter,5,5,X,,
,,,,"Nucleic Acid, dNTPs (Invitrogen)",,,,3,3,microliter,10,10,milliMolar,,
,,,,"Enzyme, E.coli DNA ligase",,,,1,1,microliter,10,10,Units/microliter,,
,,,,"Enzyme, E.coli DNA polymerase I",,,,4,4,microliter,10,10,Units/microliter,,
,,,,"Enzyme, E.coli RNase H",,,,1,1,microliter,2,2,Units/microliter,,
,,,,Total Volume:,,,,150,150,microliter,,,,,
,,,remarks,Add reagents in the order listed,,,,,,,,,,,
,,,where - vessel,first-strand cDNA synthesis reaction tube,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,3,3,minutes,Active; Per sample,,,,,,,,
2,Mix well by pipetting up and down,mix,how,"well, by pipetting up and down",,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,0.25,0.25,minutes,Active; Per sample,,,,,,,,
,incubate for 2 hr at 16_C in a thermal cycler.,incubate,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,
,,,,16,16,degrees Celsius,using a thermal cycler,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,
,,,,2,2,hours,,,,,,,,,
,,,remarks,Take care not to allow the temperature to rise above 16_C,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,2,2,hours,Passive,,,,,,,,
3,Add 2 _l of 5 U/_l T4 DNA polymerase,add,what - component list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note
,,,,"Enzyme, T4 DNA polymerase",,,,2,2,microliter,5,5,Units/microliter,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,0.5,0.5,minutes,Active; Per sample,,,,,,,,
,mix by pipetting up and down,mix,how,by pipetting up and down,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,0.25,0.25,minutes,Active; Per sample,,,,,,,,
,incubate at 16_C for an additional 5 min,incubate,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,
,,,,16,16,degrees Celsius,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,
,,,,5,5,minutes,,,,,,,,,
,,,remarks,"Invitrogen recommends this step for second-strand cDNA synthesis and, while an end repair with T4 DNA polymerase will be done again in steps (Illumina, End repair of fragmented ds cDNA).1-3, a slight increase in mappable reads is typically obtained when this step is included (unpub. observ.).",,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,5,5,minutes,Passive,,,,,,,,
4,Add 10 _l of 0.5 M EDTA,add,what - component list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note
,,,,"Chelating agent, EDTA",,,,10,10,microliter,0.5,0.5,Molar,,
,,,,Total Volume,,,,162,162,microliter,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,0.5,0.5,minutes,Active; Per sample,,,,,,,,
,microcentrifuge briefly to collect solution at bottoms of tubes,centrifuge,what,tubes,,,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,
,,,,,,,Brief,,,,,,,,
,,,how - centrifuge speed,Min Speed,Max Speed,Speed Units,Speed Comment,,,,,,,,
,,,,,,,Pulse,,,,,,,,
,,,why,to collect the contents of the tube,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1,1,minutes,Passive,,,,,,,,
,place the tubes on ice.,place,what,Sample,,,,,,,,,,,
,,,where,On ice,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1,99,minutes,Passive,,,,,,,,
5,"Purify the double-stranded cDNA product using Qiagen's QIAquick PCR Purifi-
cation Kit.",call for protocol,protocol - type,PCR Purification,,,,,,,,,,,
,,,protocol - kit name,Qiagen's QIAquick PCR Purification Kit,,,,,,,,,,,
,,,protocol - output,"Nucleic Acid, DNA, double-stranded, dissolved in Buffer EB",,,,,,,,,,,
,,,protocol - output components list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note
,,,,"Nucleic Acid, DNA, double-stranded, dissolved in Buffer EB",,,,25,25,microliter,,,,,
,,,,Total Volume,,,,25,25,microliter,,,,,
,,,remarks,"Follow the manufacturer's recommended protocol, but elute in a final
volume of 25 _l of Buffer EB.",,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,,,,"Unknown, Protocol",,,,,,,,
