Protocol Name,cDNA Library Prep,,,,,,,,,,,,,,
Input,"Nucleic Acid, RNA, poly(A)+",,,,,,,,,,,,,,
Output,"Nucleic Acid, cDNA library",,,,,,,,,,,,,,
Remarks,"cDNA library preparation using hydrolyzed or fragmented RNA. Sequencing using RNA fragmented by partial hydrolysis can also be done for comprehensive transcriptome analysis. This protocol describes cDNA library preparation by partially hydrolyzing the RNA before making cDNA. The cDNA is then made using random hexamers or oligo(dT) primers and sequenced using an Illumina Genome Analyzer. As with the cDNA fragmentation step in the Basic Protocol (step 16), care should be taken to avoid complete degradation during RNA fragmentation.",,,,,,,,,,,,,,
Reference PMID,20069539,,,,,,,,,,,,,,
Reference URL,http://onlinelibrary.wiley.com/doi/10.1002/0471142727.mb0411s89/abstract;jsessionid=953D32C841D4519C73A9F2BA29307410.d01t01,,,,,,,,,,,,,,
Reference DOI,10.1002/0471142727.mb0411s89,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Step Number,Step Text,Action,Attribute,,,,,,,,,,,,
1,"Prepare the following reaction mix in a nuclease-free microcentrifuge tube:
1 _l 10_ RNA fragmentation buffer
100 ng to 1 _g poly(A)+ RNA
nuclease-free H2O for total volume of 10 _l.",combine,what - component list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note
,,,,"Buffer, RNA fragmentation",,,,1,1,microliter,10,10,X,,
,,,,"Nucleic Acid, RNA, poly(A)+",100,1000,nanograms,User input,User input,User input,User input,User input,User input,,
,,,,"Water, nuclease-free, sterile",,,,User input,User input,microliter,,,,,
,,,,Total Volume,,,,10,10,microliter,,,,,
,,,where - vessel,nuclease-free microcentrifuge tube,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1.5,1.5,minutes,Active; Per sample,,,,,,,,
2,Incubate the tube for 5 min in a 65_C heat block.,incubate,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,
,,,,65,65,degrees Celsius,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,
,,,,5,5,minutes,,,,,,,,,
,,,where,in a heat block,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,5,5,minutes,Passive,,,,,,,,
3,Add 1 _l of reaction stop buffer,add,what - component list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note
,,,,"Chelating agent, EDTA",,,,1,1,microliter,0.2,0.2,Molar,8,Reaction stop buffer
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,0.5,0.5,minutes,Active; Per sample,,,,,,,,
,place the tube on ice for 1 min.,chill,how,on ice,,,,,,,,,,,
,,,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,
,,,,-5,5,degrees Celsius,On ice,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,
,,,,1,1,minutes,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1,1,minutes,Passive,,,,,,,,
4,Purify fragmented RNA by ethanol precipitation (see Support Protocol 1).,call for protocol,protocol - type,RNA precipitation,,,,,,,,,,,
,,,protocol - name,Ethanol precipitation,,,,,,,,,,,
,,,protocol - output,"Nucleic Acid, RNA",,,,,,,,,,,
,,,remarks,see Support Protocol 1,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,,,,"Unknown, Protocol",,,,,,,,
5,"To prepare the cDNA library for sequencing using the Illumina Genome Analyzer,
follow the Basic Protocol starting at step 2 with 100 ng to 1 _g fragmented poly(A)+
RNA, but use 34 _l of Buffer EB in step 13, and skip steps 14 to 18.",call for protocol,protocol - type,cDNA library preparation,,,,,,,,,,,
,,,protocol - name,"""Basic Protocol""",,,,,,,,,,,
,,,protocol - output,"Nucleic Acid, cDNA library",,,,,,,,,,,
,,,protocol - output components list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note
,,,,"Nucleic Acid, cDNA library",,,,34,34,microliter,,,,,
,,,,Total Volume,,,,34,34,microliter,,,,,
,,,remarks,"Follow the Basic Protocol starting at step 2 with 100 ng to 1 _g fragmented poly(A)+ RNA, but use 34 _l of Buffer EB in step 13, and skip steps 14 to 18.",,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,,,,"Unknown, Protocol",,,,,,,,
