Protocol Name,Ethanol precipitation of RNA,,,,,,,,,,,,,,,
Input,RNA,,,,,,,,,,,,,,,
Output,more concentrated RNA,,,,,,,,,,,,,,,
Remarks,"This protocol describes a basic ethanol precipitation of RNA, and is included for the sake of completeness. Note that there is a commercially available kit to purify the fragmented RNA using bead-based technology from Applied Biosystems. For labs that do not routinely handle RNA, this may be a more convenient solution.",,,,,,,,,,,,,,,
Reference PMID,20069539,,,,,,,,,,,,,,,
Reference URL,http://onlinelibrary.wiley.com/doi/10.1002/0471142727.mb0411s89/abstract;jsessionid=953D32C841D4519C73A9F2BA29307410.d01t01,,,,,,,,,,,,,,,
Reference DOI,10.1002/0471142727.mb0411s89,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Step Number,Step Text,Action,Attribute,,,,,,,,,,,,,
1,"Add the following to the tube containing fragmented RNA in step 3 of the Alternate Protocol:
2 _l of 3 M sodium acetate pH 5.2
60 _l of 100% nuclease-free ethanol.",add,what - component list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note,
,,,,"Buffer, sodium acetate",,,,2,2,microliter,3,3,Molar,5.2,,
,,,,"ethanol, nuclease-free",,,,60,60,microliter,100,100,%,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,
,,,,1,1,minutes,Active; Per sample,,,,,,,,,
2,Incubate at -80_C for 30 min.,incubate,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,,
,,,,-80,-80,degrees Celsius,,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,,
,,,,30,30,minutes,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,
,,,,30,30,minutes,Passive,,,,,,,,,
3,"Microcentrifuge the tube for 25 min at 14,000 rpm, 4_C.",centrifuge,how - temperature,Min Temp,Max Temp,Temp Units,Temp Comment,,,,,,,,,
,,,,4,4,degrees Celsius,,,,,,,,,,
,,,how - time,Min Time,Max Time,Time Units,Time Comment,,,,,,,,,
,,,,25,25,minutes,,,,,,,,,,
,,,how - centrifuge speed,Min Speed,Max Speed,Speed Units,Speed Comment,,,,,,,,,
,,,,14000,14000,rpm,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,
,,,,25,25,minutes,Passive,,,,,,,,,
4,Carefully pipet out ethanol without disturbing the RNA pellet.,remove,what,ethanol,,,,,,,,,,,,
,,,how - using tool,pipet,,,,,,,,,,,,
,,,how,without disturbing the RNA pellet,,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,,
,,,,0.25,0.25,minutes,Active; Per sample,,,,,,,,,
5,Wash the pellet in 250 _l of 70% ethanol.,wash,what,pellet,,,,,,,,,,,,
,,,how - with,what - component list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note
,,,,,Ethanol,,,,250,250,microliter,70,70,%,,
