Protocol Name,QIAquick PCR Purification Kit - Spin Protocol,,,,,,,,,,,,,,
Input,PCR sample(s),,,,,,,,,,,,,,
Output,Purified DNA,,,,,,,,,,,,,,
Remarks,"This protocol is designed to purify single- or double-stranded DNA fragments from PCR and other enzymatic reactions (see page 8). For cleanup of other enzymatic reactions, follow the protocol as described for PCR samples or use the MinElute Reaction Cleanup Kit. Fragments ranging from 100 bp to 10 kb are purified from primers, nucleotides, polymerases, and salts using QIAquick spin columns in a microcentrifuge.",,,,,,,,,,,,,,
Reference PMID,,,,,,,,,,,,,,,
Reference URL,,,,,,,,,,,,,,,
Reference,"QIAquick® Spin Handbook, March 2008",,,,,,,,,,,,,,
Category Tags,DNA Purification,,,,,,,,,,,,,,
Specifier Tags,"Qiagen, QIAquick PCR Purification Kit, Spin protocol",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Step Number,Step Text,Action,Attribute,,,,,,,,,,,,
1,Add ethanol (96–100%) to Buffer PE before use (see bottle label for volume),add,what - component list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note
,,,,Ethanol,,,,See bottle label,See bottle label,,96,100,%,,
,,,where,to Buffer PE,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,1,1,minutes,Active; Optional,,,,,,,,
2,"Add 1:250 volume pH indicator I to Buffer PB (i.e., add 120 _l pH indicator I to
30 ml Buffer PB or add 600 _l pH indicator I to 150 ml Buffer PB). The yellow color
of Buffer PB with pH indicator I indicates a pH of ≤ 7.5.",add,what - component list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note
,,,,"pH Indicator I,  (Qiagen's QIAquick PCR Purification Kit)",,,,0.004,0.004,Volumes of target,,,,,
,,,where,to Buffer PB,,,,,,,,,,,
,,,remarks,"Add pH indicator I to entire buffer contents. Do not add pH indicator I to buffer aliquots. If the purified PCR product is to be used in sensitive microarray applications, it may be beneficial to use Buffer PB without the addition of pH indicator I.",,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,0.5,0.5,minutes,Active,,,,,,,,
3,Add 5 volumes of Buffer PB to 1 volume of the PCR sample and mix.,add,component list,Reagent name,Min Mass,Max Mass,Mass Units,Min Vol,Max Vol,Vol Units,Min Conc,Max Conc,Conc Units,pH,Note
,,,,"Buffer, PB (Qiagen's QIAquick PCR Purification Kit)",,,,5,5,Volumes of target,,,,,
,,,where,to PCR sample,,,,,,,,,,,
,,,remarks,It is not necessary to remove mineral oil or kerosene.,,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,0.5,0.5,minutes,Active; Per sample,,,,,,,,
,,mix,how,by pipetting up and down (Curator assumed),,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
,,,,0.25,0.25,minutes,Active; Per sample,,,,,,,,
4,"If pH indicator I has beein added to Buffer PB, check that the color of the mixture is yellow. If the color of the mixture is orange or violet, add 10 _l of 3 M sodium
 acetate, pH 5.0, and mix. The color of the mixture will turn to yellow.",check,what,color of Buffer PB with pH Indicator I,,,,,,,,,,,
,,,remarks,"If the color of the mixture is orange or violet, add 10 _l of 3 M sodium acetate, pH 5.0, and mix. The color of the mixture will turn to yellow.",,,,,,,,,,,
,,,duration,Min Time,Max Time,Time Units,Duration Comment,,,,,,,,
